date,name,total
2017-01-01T00:00:00Z,1st Avenue - 26th St N,48183
2017-02-01T00:00:00Z,1st Avenue - 26th St N,48960
2017-03-01T00:00:00Z,1st Avenue - 26th St N,45261
2017-04-01T00:00:00Z,1st Avenue - 26th St N,69362
2017-05-01T00:00:00Z,1st Avenue - 26th St N,92779
2017-06-01T00:00:00Z,1st Avenue - 26th St N,111310
2017-07-01T00:00:00Z,1st Avenue - 26th St N,101203
2017-08-01T00:00:00Z,1st Avenue - 26th St N,106501
2017-09-01T00:00:00Z,1st Avenue - 26th St N,100876
2017-10-01T00:00:00Z,1st Avenue - 26th St N,102604
2017-11-01T00:00:00Z,1st Avenue - 26th St N,63388
2017-12-01T00:00:00Z,1st Avenue - 26th St N,43661
2018-01-01T00:00:00Z,1st Avenue - 26th St N,34543
2018-02-01T00:00:00Z,1st Avenue - 26th St N,40546
2018-03-01T00:00:00Z,1st Avenue - 26th St N,45243
2018-04-01T00:00:00Z,1st Avenue - 26th St N,57432
2018-05-01T00:00:00Z,1st Avenue - 26th St N,93858
2018-06-01T00:00:00Z,1st Avenue - 26th St N,91873
2018-07-01T00:00:00Z,1st Avenue - 26th St N,96809
2018-08-01T00:00:00Z,1st Avenue - 26th St N,98615
2018-09-01T00:00:00Z,1st Avenue - 26th St N,90373
2018-10-01T00:00:00Z,1st Avenue - 26th St N,86259
2018-11-01T00:00:00Z,1st Avenue - 26th St N,56272
2018-12-01T00:00:00Z,1st Avenue - 26th St N,47288
2014-01-01T00:00:00Z,Brooklyn Bridge Bike Path,14579
2014-02-01T00:00:00Z,Brooklyn Bridge Bike Path,10504
2014-03-01T00:00:00Z,Brooklyn Bridge Bike Path,28589
2014-04-01T00:00:00Z,Brooklyn Bridge Bike Path,63412
2014-05-01T00:00:00Z,Brooklyn Bridge Bike Path,91028
2014-06-01T00:00:00Z,Brooklyn Bridge Bike Path,95567
2014-07-01T00:00:00Z,Brooklyn Bridge Bike Path,94239
2014-08-01T00:00:00Z,Brooklyn Bridge Bike Path,98386
2014-09-01T00:00:00Z,Brooklyn Bridge Bike Path,40748
2014-10-01T00:00:00Z,Brooklyn Bridge Bike Path,0
2014-11-01T00:00:00Z,Brooklyn Bridge Bike Path,0
2014-12-01T00:00:00Z,Brooklyn Bridge Bike Path,12763
2015-01-01T00:00:00Z,Brooklyn Bridge Bike Path,14553
2015-02-01T00:00:00Z,Brooklyn Bridge Bike Path,7744
2015-03-01T00:00:00Z,Brooklyn Bridge Bike Path,24134
2015-04-01T00:00:00Z,Brooklyn Bridge Bike Path,64031
2015-05-01T00:00:00Z,Brooklyn Bridge Bike Path,104890
2015-06-01T00:00:00Z,Brooklyn Bridge Bike Path,87135
2015-07-01T00:00:00Z,Brooklyn Bridge Bike Path,100783
2015-08-01T00:00:00Z,Brooklyn Bridge Bike Path,112549
2015-09-01T00:00:00Z,Brooklyn Bridge Bike Path,101477
2015-10-01T00:00:00Z,Brooklyn Bridge Bike Path,76984
2015-11-01T00:00:00Z,Brooklyn Bridge Bike Path,56338
2015-12-01T00:00:00Z,Brooklyn Bridge Bike Path,41299
2016-01-01T00:00:00Z,Brooklyn Bridge Bike Path,23112
2016-02-01T00:00:00Z,Brooklyn Bridge Bike Path,25328
2016-03-01T00:00:00Z,Brooklyn Bridge Bike Path,57882
2016-04-01T00:00:00Z,Brooklyn Bridge Bike Path,68162
2016-05-01T00:00:00Z,Brooklyn Bridge Bike Path,84445
2016-06-01T00:00:00Z,Brooklyn Bridge Bike Path,108420
2016-07-01T00:00:00Z,Brooklyn Bridge Bike Path,114948
2016-08-01T00:00:00Z,Brooklyn Bridge Bike Path,106064
2016-09-01T00:00:00Z,Brooklyn Bridge Bike Path,90578
2016-10-01T00:00:00Z,Brooklyn Bridge Bike Path,76119
2016-11-01T00:00:00Z,Brooklyn Bridge Bike Path,52426
2016-12-01T00:00:00Z,Brooklyn Bridge Bike Path,28375
2017-01-01T00:00:00Z,Brooklyn Bridge Bike Path,23668
2017-02-01T00:00:00Z,Brooklyn Bridge Bike Path,31332
2017-03-01T00:00:00Z,Brooklyn Bridge Bike Path,27568
2017-04-01T00:00:00Z,Brooklyn Bridge Bike Path,67518
2017-05-01T00:00:00Z,Brooklyn Bridge Bike Path,76022
2017-06-01T00:00:00Z,Brooklyn Bridge Bike Path,82728
2017-07-01T00:00:00Z,Brooklyn Bridge Bike Path,85417
2017-08-01T00:00:00Z,Brooklyn Bridge Bike Path,94877
2017-09-01T00:00:00Z,Brooklyn Bridge Bike Path,86869
2017-10-01T00:00:00Z,Brooklyn Bridge Bike Path,80113
2017-11-01T00:00:00Z,Brooklyn Bridge Bike Path,46483
2017-12-01T00:00:00Z,Brooklyn Bridge Bike Path,27517
2018-01-01T00:00:00Z,Brooklyn Bridge Bike Path,20525
2018-02-01T00:00:00Z,Brooklyn Bridge Bike Path,28776
2018-03-01T00:00:00Z,Brooklyn Bridge Bike Path,31311
2018-04-01T00:00:00Z,Brooklyn Bridge Bike Path,51769
2018-05-01T00:00:00Z,Brooklyn Bridge Bike Path,88888
2018-06-01T00:00:00Z,Brooklyn Bridge Bike Path,84047
2018-07-01T00:00:00Z,Brooklyn Bridge Bike Path,85581
2018-08-01T00:00:00Z,Brooklyn Bridge Bike Path,89839
2018-09-01T00:00:00Z,Brooklyn Bridge Bike Path,74136
2018-10-01T00:00:00Z,Brooklyn Bridge Bike Path,68900
2018-11-01T00:00:00Z,Brooklyn Bridge Bike Path,33749
2018-12-01T00:00:00Z,Brooklyn Bridge Bike Path,23345
2019-01-01T00:00:00Z,Brooklyn Bridge Bike Path,20859
2019-02-01T00:00:00Z,Brooklyn Bridge Bike Path,20571
2019-03-01T00:00:00Z,Brooklyn Bridge Bike Path,30481
2019-04-01T00:00:00Z,Brooklyn Bridge Bike Path,57172
2019-05-01T00:00:00Z,Brooklyn Bridge Bike Path,62326
2019-06-01T00:00:00Z,Brooklyn Bridge Bike Path,63133
2019-07-01T00:00:00Z,Brooklyn Bridge Bike Path,66634
2019-08-01T00:00:00Z,Brooklyn Bridge Bike Path,76513
2019-09-01T00:00:00Z,Brooklyn Bridge Bike Path,71794
2019-10-01T00:00:00Z,Brooklyn Bridge Bike Path,54997
2019-11-01T00:00:00Z,Brooklyn Bridge Bike Path,32822
2019-12-01T00:00:00Z,Brooklyn Bridge Bike Path,16149
2014-01-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,27048
2014-02-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,22048
2014-03-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,49185
2014-04-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,89128
2014-05-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,118030
2014-06-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,133436
2014-07-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,141625
2014-08-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,148298
2014-09-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,139025
2014-10-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,113054
2014-11-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,70119
2014-12-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,51348
2015-01-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,33868
2015-02-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,21352
2015-03-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,49686
2015-04-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,104893
2015-05-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,146968
2015-06-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,132678
2015-07-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,148769
2015-08-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,158258
2015-09-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,148931
2015-10-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,120133
2015-11-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,96469
2015-12-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,75367
2016-01-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,48548
2016-02-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,53096
2016-03-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,95096
2016-04-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,100727
2016-05-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,118397
2016-06-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,144470
2016-07-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,144802
2016-08-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,157072
2016-09-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,140462
2016-10-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,114568
2016-11-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,93329
2016-12-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,63458
2017-01-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,55682
2017-02-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,61319
2017-03-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,54010
2017-04-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,104495
2017-05-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,126467
2017-06-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,141925
2017-07-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,141250
2017-08-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,160299
2017-09-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,151610
2017-10-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,147909
2017-11-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,100328
2017-12-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,71533
2018-01-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,49528
2018-02-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,58369
2018-03-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,64309
2018-04-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,89915
2018-05-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,135071
2018-06-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,144092
2018-07-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,140044
2018-08-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,140294
2018-09-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,120646
2018-10-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,122132
2018-11-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,76079
2018-12-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,62026
2019-01-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,55895
2019-02-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,54777
2019-03-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,73808
2019-04-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,103877
2019-05-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,119263
2019-06-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,125571
2019-07-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,135949
2019-08-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,144003
2019-09-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,141060
2019-10-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,116161
2019-11-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,84058
2019-12-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,57951
2017-01-01T00:00:00Z,Kent Avenue Bike Path,32010
2017-02-01T00:00:00Z,Kent Avenue Bike Path,40789
2017-03-01T00:00:00Z,Kent Avenue Bike Path,34977
2017-04-01T00:00:00Z,Kent Avenue Bike Path,80899
2017-05-01T00:00:00Z,Kent Avenue Bike Path,93551
2017-06-01T00:00:00Z,Kent Avenue Bike Path,112507
2017-07-01T00:00:00Z,Kent Avenue Bike Path,114776
2017-08-01T00:00:00Z,Kent Avenue Bike Path,112560
2017-09-01T00:00:00Z,Kent Avenue Bike Path,113152
2017-10-01T00:00:00Z,Kent Avenue Bike Path,95945
2017-11-01T00:00:00Z,Kent Avenue Bike Path,59344
2017-12-01T00:00:00Z,Kent Avenue Bike Path,37439
2018-01-01T00:00:00Z,Kent Avenue Bike Path,29307
2018-02-01T00:00:00Z,Kent Avenue Bike Path,36375
2018-03-01T00:00:00Z,Kent Avenue Bike Path,40898
2018-04-01T00:00:00Z,Kent Avenue Bike Path,66346
2018-05-01T00:00:00Z,Kent Avenue Bike Path,98194
2018-06-01T00:00:00Z,Kent Avenue Bike Path,109333
2018-07-01T00:00:00Z,Kent Avenue Bike Path,107743
2018-08-01T00:00:00Z,Kent Avenue Bike Path,100440
2018-09-01T00:00:00Z,Kent Avenue Bike Path,93066
2018-10-01T00:00:00Z,Kent Avenue Bike Path,81621
2018-11-01T00:00:00Z,Kent Avenue Bike Path,47292
2018-12-01T00:00:00Z,Kent Avenue Bike Path,36006
2019-01-01T00:00:00Z,Kent Avenue Bike Path,32965
2019-02-01T00:00:00Z,Kent Avenue Bike Path,34530
2019-03-01T00:00:00Z,Kent Avenue Bike Path,49935
2019-04-01T00:00:00Z,Kent Avenue Bike Path,76026
2019-05-01T00:00:00Z,Kent Avenue Bike Path,92881
2019-06-01T00:00:00Z,Kent Avenue Bike Path,103258
2019-07-01T00:00:00Z,Kent Avenue Bike Path,99663
2019-08-01T00:00:00Z,Kent Avenue Bike Path,106754
2019-09-01T00:00:00Z,Kent Avenue Bike Path,105192
2019-10-01T00:00:00Z,Kent Avenue Bike Path,76984
2019-11-01T00:00:00Z,Kent Avenue Bike Path,51910
2019-12-01T00:00:00Z,Kent Avenue Bike Path,35149
2019-01-01T00:00:00Z,Manhattan Bridge Display Bike Counter,59413
2019-02-01T00:00:00Z,Manhattan Bridge Display Bike Counter,57267
2019-03-01T00:00:00Z,Manhattan Bridge Display Bike Counter,83463
2019-04-01T00:00:00Z,Manhattan Bridge Display Bike Counter,129441
2019-05-01T00:00:00Z,Manhattan Bridge Display Bike Counter,134064
2019-06-01T00:00:00Z,Manhattan Bridge Display Bike Counter,136963
2019-07-01T00:00:00Z,Manhattan Bridge Display Bike Counter,143530
2019-08-01T00:00:00Z,Manhattan Bridge Display Bike Counter,153675
2019-09-01T00:00:00Z,Manhattan Bridge Display Bike Counter,160758
2019-10-01T00:00:00Z,Manhattan Bridge Display Bike Counter,129677
2019-11-01T00:00:00Z,Manhattan Bridge Display Bike Counter,92120
